Category,Item,Allergens,Serving Size (oz),Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),,,,,,,,
Beverages (20 oz no ice),Lipton Sweet Tea,NA,20,?,110,0,0,0,0,70,3,0,32,32,0,0,32,0,?,,,,,,,,
Beverages (20 oz no ice),Lipton Raspberry Tea,NA,20,?,120,0,0,0,0,70,3,0,?,?,0,0,31,0,?,,,,,,,,
Beverages (20 oz no ice),Unsweetened Green Tea,NA,20,?,0,0,0,0,0,70,3,18,0,0,0,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Light Lemonade,NA,20,?,10,0,0,0,0,220,18,0,?,0,0,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Fruit Punch,NA,20,?,280,0,0,0,0,80,37,0,71,28,0,0,71,0,?,,,,,,,,
Beverages (20 oz no ice),Pink Lemonade,NA,20,?,250,0,0,0,0,80,37,0,?,?,0,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Coke,NA,20,?,270,0,0,0,0,75,2,0,73,27,0,0,73,0,?,,,,,,,,
Beverages (20 oz no ice),Coke Zero,NA,20,?,0,0,0,0,0,75,0,0,0,0,0,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Diet Coke,NA,20,?,0,0,0,0,0,83,4,0,0,0,0,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Sprite,NA,20,?,250,0,0,0,0,88,4,0,67,67,0,0,67,0,?,,,,,,,,
Beverages (20 oz no ice),Fuzz Raspberry Tea,NA,20,?,150,0,0,0,0,96,4,40,15,0,40,40,?,0,?,,,,,,,,
Beverages (20 oz no ice),Fuzz Lemon Black Tea,NA,20,?,150,0,0,0,0,95,?,?,?,?,?,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Minute Maid Lemonade,NA,20,?,240,0,0,0,0,180,8,0,63,23,0,0,62,0,?,,,,,,,,
Beverages (20 oz no ice),Powerade Mountain Berry Blast,NA,20,?,150,0,0,0,0,160,?,?,?,?,?,0,?,0,?,,,,,,,,
Beverages (20 oz no ice),Fanta Orange,NA,20,?,270,0,0,0,0,70,3,0,72,28,0,0,72,0,?,,,,,,,,
Beverages (20 oz no ice),Barq's Root Beer,NA,20,?,270,0,0,0,0,70,3,0,?,?,0,0,?,0,?,,,,,,,,
